Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
ESPN NBA 2Night 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0
ESPN NBA Basketball,PS2,2003,Sports,Sega,0.26,0.21,0,0.07
ESPN NBA Basketball,XB,2003,Sports,Sega,0.2,0.06,0,0.01
ESPN NFL 2K5,PS2,2004,Sports,Sega,2.15,0.12,0,0.36
ESPN NFL 2K5,XB,2004,Sports,Sega,1.54,0.02,0,0.07
ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0,0.07
ESPN NFL Football,XB,2003,Sports,Sega,0.27,0.08,0,0.01
ESPN NFL Primetime 2002,PS2,2001,Sports,Konami Digital Entertainment,0.04,0.03,0,0.01
ESPN NFL Primetime 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11
ESPN NHL 2K5,XB,2004,Sports,Global Star,0.32,0.09,0,0.02
ESPN NHL Hockey,PS2,2003,Sports,Sega,0.11,0.09,0,0.03
ESPN NHL Hockey,XB,2003,Sports,Sega,0.08,0.02,0,0
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0,0.03
ESPN Winter X Games: Snowboarding 2002,XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0
ESPN Winter X-Games: Snowboarding 2002,GBA,2000,Sports,Konami Digital Entertainment,0.05,0.02,0,0
ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment,0.13,0.05,0,0
ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,0.18,0.14,0,0.05
ESPN X-Games Pro Boarder,PS,1997,Sports,Sony Computer Entertainment,0.18,0.12,0,0.02
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.21,0.12,0,0.04
Eternal Darkness: Sanity's Requiem,GC,2002,Adventure,Nintendo,0.34,0.09,0,0.01
Eternal Eyes,PS,1999,Role-Playing,Sunsoft,0.08,0.05,0,0.01
Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0,0.02
Eternal Poison (JP sales),PS2,2008,Role-Playing,Banpresto,0,0,0.13,0
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03
Eternal Sonata,PS3,2008,Role-Playing,Atari,0.19,0.13,0.07,0.06
Eternal Sonata,X360,2007,Role-Playing,Atari,0.19,0.04,0.08,0.02
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01
Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.2,0.03,0.09,0.02
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,Atlus,0.07,0.02,0,0.01
Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0,0,0.1,0
Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.1,0,0.16,0.01
Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus,0.13,0,0.19,0.01
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01
Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0,0,0.12,0
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0
Eureka Seven Vol. 2: The New Vision,PS2,2006,Shooter,Namco Bandai Games,0,0,0.02,0
Euro Truck Simulator,PC,2008,Simulation,Rondomedia,0,0.42,0,0.09
Euro Truck Simulator 2,PC,2012,Action,SCS Software,0,0.12,0,0.02
Europa Universalis III Complete,PC,2008,Strategy,Paradox Interactive,0,0.02,0,0
Evangelion: Jo,PS2,2009,Action,Namco Bandai Games,0,0,0.03,0
Evangelion: Jo,PSP,2009,Action,Namco Bandai Games,0,0,0.06,0
EVE Online,PC,2003,Role-Playing,CCP,0,0.19,0,0.02
EVE: burst error,SAT,1997,Adventure,Imagineer,0,0,0.21,0
Eve: The Lost One,SAT,1998,Adventure,Imagineer,0,0,0.16,0
Even in a Game Listen to Me Girls. I Am Your Father!,PSP,2012,Action,Namco Bandai Games,0,0,0.03,0
EverBlue 2,PS2,2002,Adventure,Capcom,0.02,0.01,0,0
everGirl,GBA,2005,Adventure,THQ,0.05,0.02,0,0
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03
EverQuest II: Destiny of Velious,PC,2011,Role-Playing,Sony Online Entertainment,0.06,0,0,0
EverQuest Online Adventures,PS2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0,0.05
EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Sony Online Entertainment,0.09,0.07,0,0.02
Every Extend Extra,PSP,2006,Shooter,Disney Interactive Studios,0.1,0.01,0,0.01
Everybody Dance,PS3,2011,Misc,Sony Computer Entertainment,0.11,0,0,0.01
Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ,0.19,0.15,0,0.05
Evil Dead: Fistfull of Boomstick,XB,2003,Action,THQ,0.07,0.02,0,0
Evil Dead: Hail to the King,PS,2000,Adventure,THQ,0.15,0.1,0,0.02
Evil Dead: Regeneration,PS2,2005,Action,THQ,0.1,0.08,0,0.03
Evil Dead: Regeneration,XB,2005,Action,THQ,0.06,0.02,0,0
Evil Genius,PC,2004,Strategy,Vivendi Games,0,0.01,0,0
Evil Zone,PS,1998,Fighting,Titus,0.14,0.1,0,0.02
Evolution Skateboarding,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0,0
Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03
Evolution Snowboarding,PS2,2002,Sports,Konami Digital Entertainment,0.01,0.01,0,0
Evolution Worlds,GC,2002,Role-Playing,Ubisoft,0.06,0.02,0,0
Evolve,PC,2015,Shooter,Take-Two Interactive,0.07,0.1,0,0.01
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15
Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0,0.06
EX Monopoly,GBA,2001,Misc,Takara,0.16,0.06,0,0
Excite Truck,Wii,2006,Racing,Nintendo,0.4,0.03,0.08,0.04
Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07
Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01
ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,0.26,0,0,0.02
ExerBeat,Wii,2010,Sports,Namco Bandai Games,0.1,0.18,0,0.03
Exhibition,XB,2001,Misc,Microsoft Game Studios,0.19,0.05,0,0.01
Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,0.13,0.04,0,0.01
Exhibition Volume 03,XB,2003,Misc,Microsoft Game Studios,0.07,0.02,0,0
Exhibition Volume 4,XB,2003,Misc,Microsoft Game Studios,0.05,0.02,0,0
Exhibition Volume 5,XB,2004,Misc,Microsoft Game Studios,0.04,0.01,0,0
Exhibition Volume 6,XB,2004,Misc,Microsoft Game Studios,0.01,0,0,0
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0,0,0.03,0
Exist Archive: The Other Side of the Sky,PSV,2015,Role-Playing,Aksys Games,0,0,0.04,0
Exit,PSP,2005,Puzzle,Ubisoft,0.07,0,0,0.01
Exit DS,DS,2008,Puzzle,Square Enix,0.09,0,0.01,0.01
Expendable,PS,1999,Action,Infogrames,0.03,0.02,0,0
Exstetra,3DS,2013,Role-Playing,FuRyu,0,0,0.01,0
Exstetra,PSV,2013,Role-Playing,FuRyu,0,0,0.03,0
Extermination,PS2,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05
Extra Bases,GB,1990,Sports,Namco Bandai Games,0,0,0.33,0
Extreme Pinball,PS,1995,Misc,Electronic Arts,0.18,0.12,0,0.02
Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0,0.01
Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment,0.31,0.07,0,0
EyeCreate,PS3,2007,Misc,Sony Computer Entertainment,0,0.08,0,0.02
EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.09
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09
EyePet & Friends,PS3,2011,Simulation,Sony Computer Entertainment,0.06,0.09,0,0.03
Eyeshield 21: DevilBats DevilDays,GBA,2006,Role-Playing,Nintendo,0,0,0.03,0
Eyeshield 21: Field Saikyou no Senshi Tachi,Wii,2007,Role-Playing,Nintendo,0,0,0.03,0
Eyeshield 21: Max Devil Power,DS,2006,Role-Playing,Nintendo,0,0,0.12,0
Eyeshield 21: Portable Edition,PSP,2006,Role-Playing,Konami Digital Entertainment,0,0,0.02,0
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05
EyeToy: AntiGrav,PS2,2004,Sports,Sony Computer Entertainment,0.36,0.01,0,0.06
EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02
EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02
EyeToy: Operation Spy,PS2,2005,Action,Sony Computer Entertainment,0.05,0.04,0,0.01
F-1 Grand Prix,SNES,1992,Racing,Video System,0,0,0.28,0
F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4
F-1 World Grand Prix,N64,1998,Racing,Video System,0.46,0.96,0.09,0.08
F-14 Tomcat,GBA,2001,Action,Majesco Entertainment,0.5,0.19,0,0.01
F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07
F-Zero GX,GC,2003,Racing,Nintendo,0.41,0.11,0.12,0.02
F-Zero X,N64,1998,Racing,Nintendo,0.45,0.33,0.29,0.03
F-Zero: GP Legend,GBA,2003,Racing,Nintendo,0.11,0.04,0,0
F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12
F.E.A.R.,PS3,2007,Shooter,Vivendi Games,0.18,0.27,0,0.1
F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0,0.03
F.E.A.R. 2: Project Origin,PC,2009,Shooter,Warner Bros. Interactive Entertainment,0.01,0.05,0,0.01
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08
F.E.A.R. 2: Project Origin,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0,0.05
F.E.A.R. 3,PC,2011,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0,0.03
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.17,0.01,0.07
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04
F.E.A.R. Files,X360,2007,Shooter,Vivendi Games,0.07,0.01,0,0.01
F.E.A.R. Perseus Mandate,PC,2007,Shooter,Vivendi Games,0.01,0,0,0
F/A-18F Super Hornet,GBA,2004,Simulation,Majesco Entertainment,0.2,0.08,0,0.01
F1 2000,PS,2000,Racing,Electronic Arts,0.14,0.09,0,0.02
F1 2001,PS2,2001,Racing,Electronic Arts,0.07,0.06,0,0.02
F1 2001,XB,2001,Racing,Electronic Arts,0.05,0.01,0,0
F1 2002,GBA,2002,Racing,"Destination Software, Inc",0.01,0.01,0,0
F1 2002,GC,2002,Racing,Electronic Arts,0.02,0.01,0,0
F1 2002,PS2,2002,Racing,Electronic Arts,0.05,0.04,0.02,0.01
F1 2009,PSP,2009,Racing,Codemasters,0.08,0.29,0,0.16
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0,0.11
F1 2010,PC,2010,Racing,Codemasters,0,0.05,0,0.01
F1 2010,PS3,2010,Racing,Codemasters,0.25,0.76,0.08,0.27
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1
F1 2011,3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02
F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.75,0.11,0.25
F1 2011,PSV,2011,Racing,Codemasters,0.03,0.08,0.01,0.03
F1 2011,X360,2011,Racing,Codemasters,0.11,0.51,0.01,0.09
F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0,0.03
F1 2012,PS3,2012,Racing,Codemasters,0.12,0.64,0.05,0.25
F1 2012,X360,2012,Racing,Codemasters,0.1,0.35,0,0.06
F1 2013,PS3,2013,Racing,Codemasters,0.01,0.45,0.03,0.15
F1 2013,X360,2013,Racing,Codemasters,0.01,0.28,0,0.03
F1 2014,PC,2014,Racing,Codemasters,0,0.09,0,0.01
F1 2014,PS3,2014,Racing,Codemasters,0.07,0.31,0.02,0.08
F1 2014,X360,2014,Racing,Codemasters,0.08,0.15,0,0.02
F1 2015,PC,2015,Racing,Codemasters,0,0.04,0,0
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09
F1 2015,XOne,2015,Racing,Codemasters,0.08,0.15,0,0.02
F1 2016 (Codemasters),PC,2016,Racing,Codemasters,0,0.02,0,0
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.01,0.21,0.01,0.04
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.01,0.07,0,0.01
F1 Career Challenge,PS2,2003,Racing,Electronic Arts,0.05,0.04,0,0.01
F1 Challenge,SAT,1994,Racing,Sega,0,0,0.18,0
F1 Championship Season 2000,PS2,2000,Racing,Electronic Arts,0.06,0.05,0.03,0.02
F1 Pole Position 64,N64,1997,Racing,Ubisoft,0.11,0.13,0,0.01
F1 Race,NES,1984,Racing,Nintendo,0,0,1.52,0
F1 Race Stars,PC,2012,Racing,Codemasters,0,0.02,0,0
F1 Race Stars,PS3,2012,Racing,Codemasters,0.06,0.21,0,0.08
F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0.18,0,0.03
F1 Racing Championship,PS,2000,Racing,Video System,0.06,0.04,0,0.01
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0,0,0.28,0
Fab 5 Soccer,DS,2008,Sports,Destineer,0.01,0,0,0
Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.19,0.01,0.04
Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41
Fable III,PC,2011,Role-Playing,Microsoft Game Studios,0.09,0.17,0,0.05
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38
Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.09,0,0.02
Fable: The Lost Chapters,PC,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0,0.01
FabStyle,3DS,2011,Strategy,Tecmo Koei,0,0,0.03,0
FabStyle,DS,2011,Strategy,Tecmo Koei,0,0,0.08,0
Fabulous Finds,DS,2009,Puzzle,ValuSoft,0.1,0,0,0.01
Face Racers: Photo Finish,3DS,N/A,Racing,Majesco Entertainment,0.08,0,0,0
Face Training,DS,2007,Misc,Nintendo,0,0,0.19,0
FaceBreaker,PS3,2008,Fighting,Electronic Arts,0.13,0.03,0,0.02
FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0,0.02
FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,0.2,0.01,0,0.02
Fade to Black,PS,1996,Action,Electronic Arts,0.19,0.13,0,0.02
Fading Shadows,PSP,2008,Puzzle,Ivolgamus,0.03,0,0,0
FairlyLife: MiracleDays,PSP,2010,Adventure,Piacci,0,0,0.01,0
Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.05,0.09,0.02
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0
Fairy Tail: Portable Guild,PSP,2010,Fighting,Konami Digital Entertainment,0,0,0.11,0
Fairy Tail: Portable Guild 2,PSP,2011,Fighting,Konami Digital Entertainment,0,0,0.08,0
Fairy Tail: Zelef Kakusei,PSP,2012,Action,Unknown,0,0,0.07,0
Fairytale Fights,PS3,2009,Action,Playlogic Game Factory,0.11,0.04,0,0.02
Fairytale Fights,X360,2009,Action,Playlogic Game Factory,0.14,0.02,0,0.01
Falcon 4.0: Allied Force,PC,2005,Simulation,Graphsim Entertainment,0,0.02,0,0
Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0,0.08
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,Bethesda Softworks,0.16,0.06,0,0.02
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,2009,Role-Playing,Bethesda Softworks,0.09,0.01,0,0.01
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37
Fallout Anthology,PC,2015,Action,Bethesda Softworks,0,0.01,0,0
Fallout Trilogy,PC,2004,Role-Playing,Ubisoft,0,0.02,0,0
Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01
Fallout: Brotherhood of Steel,XB,2004,Role-Playing,Avalon Interactive,0.04,0.01,0,0
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.58,0.45,0,0.14
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0
Famicom Mini: Adventure Island,GBA,2004,Action,Hudson Soft,0,0,0.08,0
Famicom Mini: Balloon Fight,GBA,2004,Action,Nintendo,0,0,0.06,0
Famicom Mini: Clu Clu Land,GBA,2004,Puzzle,Nintendo,0,0,0.04,0
Famicom Mini: Dig Dug,GBA,2004,Puzzle,Namco Bandai Games,0,0,0.05,0
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.08,0
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.11,0
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,Adventure,Nintendo,0,0,0.1,0
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,Platform,Konami Digital Entertainment,0,0,0.2,0.01
Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,2004,Platform,Nintendo,0,0,0.07,0
Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0,0,0.08,0
Famicom Mini: Mappy,GBA,2004,Platform,Nintendo,0,0,0.09,0
Famicom Mini: Mario Bros.,GBA,2004,Platform,Nintendo,0,0,0.08,0
Famicom Mini: Nazo no Murasame-Jou,GBA,2004,Action,Nintendo,0,0,0.07,0
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0,0,0.08,0
Famicom Mini: Star Soldier,GBA,2004,Shooter,Nintendo,0,0,0.08,0
Famicom Mini: Super Mario Bros. 2,GBA,2004,Platform,Nintendo,0,0,0.41,0.01
Famicom Mini: TwinBee,GBA,2004,Shooter,Konami Digital Entertainment,0,0,0.12,0
Famicom Mini: Wrecking Crew,GBA,2004,Puzzle,Nintendo,0,0,0.07,0
Famicom Remix Best Choice,3DS,2015,Action,Nintendo,0,0,0.04,0
Family Fest Presents Circus Games,Wii,2008,Misc,Ubisoft,0.1,0.29,0,0.05
Family Fest presents: Movie Games,Wii,2008,Action,Ubisoft,0.2,0.01,0,0.02
Family Feud Decades,Wii,2010,Misc,Ubisoft,0.16,0,0,0.01
Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0,0,0.02
Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.59,0,0,0.04
Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.19,0,0,0.01
Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0,0,0.01
Family Fortunes,DS,2009,Misc,Mindscape,0,0.04,0,0
Family Fortunes,Wii,2009,Misc,Mindscape,0,0.12,0,0.01
Family Fun Football,Wii,2009,Sports,Tecmo Koei,0.1,0,0,0.01
Family Game Night 4: The Game Show,PS3,2011,Misc,Electronic Arts,0.08,0.02,0,0.01
Family Game Night 4: The Game Show,Wii,2011,Misc,Electronic Arts,0.13,0.04,0,0.01
Family Game Night 4: The Game Show,X360,2011,Misc,Electronic Arts,0.07,0,0,0.01
Family GameShow,Wii,2009,Misc,Zushi Games,0.08,0,0,0.01
Family Guy,PSP,2006,Action,Take-Two Interactive,0.18,0,0,0.02
Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.12,0,0.05
Family Guy: Back to the Multiverse,X360,2012,Action,Activision,0.14,0.09,0,0.02
Family Jockey,Wii,2008,Sports,Namco Bandai Games,0,0,0.01,0
Family Party: 30 Great Games,Wii,2008,Misc,D3Publisher,0.09,0.01,0,0.01
Family Party: 30 Great Games Outdoor Fun,Wii,2009,Misc,D3Publisher,0.14,0.01,0,0.01
Family Party: 30 Great Games Winter Fun,Wii,2010,Sports,D3Publisher,0.21,0,0,0.01
Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher,0.31,0,0,0.02
Family Party: Fitness Fun,Wii,2010,Sports,D3Publisher,0.14,0,0,0.01
Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,0,0.06,0,0.01
Famista '91,NES,1990,Sports,Namco Bandai Games,0,0,0.3,0
Famista '92,NES,1991,Sports,Namco Bandai Games,0,0,0.28,0
Famista 64,N64,N/A,Sports,Namco Bandai Games,0,0,0.17,0.03
Famista Returns,3DS,2015,Sports,Namco Bandai Games,0,0,0.14,0
Fancy Nancy: Tea Party Time!,DS,2010,Adventure,THQ,0.17,0,0,0.01
Fantasia: Music Evolved,X360,2014,Misc,Disney Interactive Studios,0.05,0.01,0,0.01
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0,0.01
Fantastic 4,GC,2005,Action,Activision,0.19,0.05,0,0.01
Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0,0.07
Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0,0.01
Fantastic 4: Flame On,GBA,2005,Action,Activision,0.2,0.08,0,0.01
Fantastic Four,PS,1997,Action,Acclaim Entertainment,0.04,0.03,0,0
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,0.04,0,0,0
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05
Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,0.12,0.02,0,0.02
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.04,0.01,0,0
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0,0.01
Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.03
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0
Fantasy Aquarium by DS,DS,2008,Simulation,Mercury Games,0.07,0,0,0.01
Fantasy Aquarium World,Wii,2009,Simulation,Destineer,0.06,0,0,0
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04
Far Cry,PC,2004,Shooter,Ubisoft,0,0.04,0,0.01
Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0,0.03
Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.7,0.01,0.27
Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18
Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0,0.14
Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72
Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0,0.05
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0,0.08
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13
Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0,0.02
Far Cry Instincts Evolution,XB,2006,Shooter,Ubisoft,0.06,0.02,0,0
Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,0.2,0.03,0,0.02
Far Cry Vengeance,Wii,2006,Shooter,Ubisoft,0.06,0.01,0,0.01
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.09,0,0.01
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06,0.33
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.46,0.32,0,0.07
Far East of Eden II: Manji Maru,DS,2006,Role-Playing,Hudson Soft,0,0,0.01,0
Far East of Eden II: Manji Maru,PS2,2003,Role-Playing,Hudson Soft,0,0,0.17,0
Far East of Eden Shinden,NG,1995,Fighting,Hudson Soft,0,0,0.03,0
Far East of Eden Zero,SNES,1995,Role-Playing,Hudson Soft,0,0,0.3,0
Farm Frenzy,PC,2008,Strategy,Mumbo Jumbo,0.01,0,0,0
Farm Frenzy 3,DS,2011,Strategy,Unknown,0,0.02,0,0
Farm Frenzy 3,PC,2009,Strategy,Alawar Entertainment,0,0.03,0,0.01
Farm Frenzy: Animal Country,DS,2009,Simulation,City Interactive,0.13,0.01,0,0.01
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0,0.01,0,0
Farming Simulator 15 Expansion Pack,PC,2015,Action,Focus Home Interactive,0,0.01,0,0
Farming Simulator 2011,PC,2010,Simulation,N/A,0,0.13,0,0
Farming Simulator 2012,3DS,2012,Action,Excalibur Publishing,0,0.12,0,0.02
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.8,0,0.18
Farming Simulator 2013,PS3,2013,Simulation,Focus Home Interactive,0,0.1,0.02,0.04
Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.03
Farming Simulator 2014,PSV,2014,Simulation,Focus Home Interactive,0.01,0,0,0
Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0,0.13
Farming Simulator 2015,PS3,2015,Simulation,Koch Media,0.11,0.28,0,0.07
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.1,0.2,0,0.05
Farming Simulator 2015,X360,2015,Simulation,Koch Media,0.21,0.16,0,0.04
Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.1,0.07,0,0.02
Farmtopia,DS,2010,Simulation,505 Games,0.18,0,0,0.01
